UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
29866,74818,United States,1-4-2020,"Grocery shopping gets weird as we adjust to 'new normal' amid #Coronavirus pandemic



https://t.co/jy3yfEMhG5 https://t.co/gpLjxCLjT6",1
29867,74819,"Dublin, Ireland",1-4-2020,"Restaurant strategy during coronavirus outbreak - Think with Google



#coronavirus #food #restaurant #covin18

https://t.co/6wVtkN0hVI",2
29868,74820,Oman,1-4-2020,"The Public Authority for Consumer Protection (PACP) have seized illegal masks.

@pacp_oman 

#coronavirus



https://t.co/TMhyWzQ8Dq",1
29869,74821,Suomi,1-4-2020,For the #VR #AR community: What is your take on the future of  the shared use of those very expensive #enterprise #XR headsets after this #coronavirus crisis? Will this mean that there has to be a shift to cheap and more simple personal consumer devices instead? @Scobleizer,1
29870,74822,"San Francisco, CA",1-4-2020,"Transurban to hike up toll prices for motorists, despite coronavirus https://t.co/TxI5wsS6GG via @MailOnline #tollroads #trucking #truckers #infrastructure #Transportation #transurban #coronavirus",2
29871,74823,"Philadelphia, PA",1-4-2020,"Im coming home early today, I am going to have a mental breakdown in 2 seconds. I cried in the bathroom already.  A text from daughter who works for RX store. WTF is wrong with people? Why mean to essential retail workers? #RetailWorkers #coronavirus #WeAreAllInThisTogether",0
29872,74824,"Vermont, USA",1-4-2020,"1. It isn't just panic buying that is causing shortages. It is also because the people who make the food are getting sick. With people pushing to end the lockdown and just let it spread, all production could grind to a halt. #coronavirus #covid19 cont https://t.co/jISCNoE2W2",0
29873,74825,Macau,1-4-2020,"#Consumer behaviour



? The #coronavirus pandemic has completely changed patterns of consumer psychology across the world, experts say

? Complexity of the crisis, the number of variables and its magnitude make a consumer recovery unprecedented and difficult to predict https://t.co/RXIntSfmpC",0
29874,74826,"Tanzania, Kenya and Uganda",1-4-2020,I urge to resist panic buying We will be closely monitoring the cost of food and taking stern measures against traders who create artificial price inflation on food and agriculture inputs Agriculture CS,1
29875,74827,"Quezon City, Philippines",1-4-2020,"Some 20 residents of Quezon City who were among a group that staged a protest to demand food and other aid from the government were arrested on Wednesday.



STORY: https://t.co/nsthoOA4ro https://t.co/OmDAaNz2dd",0
29876,74828,USA TODAY,1-4-2020,"It used to be a perk, but now curbside pickup is becoming increasingly important. https://t.co/LX4rmikoNG",3
29877,74829,"Mesa, Arizona",1-4-2020,"It was scary when this pandemic began and many of our large volunteer groups canceled their shifts as the need for food began to dramatically rise.

 

We put out a call for help and waited. 

 

Then Arizona answered. 



#AllAZ #AZTogether #COVIDkindness #WeFeedAZ https://t.co/So2PKSatQc",1
29878,74830,"Berne, Switzerland",1-4-2020,#SwissPost working overtime to cope with online shopping boom. With all but non-essential businesses &amp; shops closed the Post has seen its workload increase dramatically as housebound residents order online https://t.co/YfMFk0p6bZ #coronavirus #COVID19 @swisspostnews_e @swisspost https://t.co/sglXVKka8o,3
29879,74831,Vietnam,1-4-2020,Quarantine. Building lockdown. So I do some online shopping. Hey cant miss their 50% off #pierrecardin #Vietnam #coronavirus #lockdown #QuarantineLife https://t.co/qKfOnBklbH,1
29880,74832,Bo'ness. West Lothian.Scotland,1-4-2020,Nurse thinks she's contracted COVID-19 https://t.co/Fo89PGVmXU via @Femail,2
29881,74833,"London, England",1-4-2020,"To put a positive spin on the news that many people are losing their jobs due to the #Coronavirus pandemic, we looked into the sectors recruiting the MOST employees right now, using data from @IndeedUK. 



As seen in the Telegraph: https://t.co/fSroslUIj5",3
29882,74834,"Abuja, Nigeria",1-4-2020,"#Covid_19: Hunger dey everywhere! Abeg, Bring down prices  Ezinne Aja yan Food Sellers https://t.co/4eLx394fRH",1
29883,74835,"Bethlehem, PA ",1-4-2020,"Do not panic shop or hoard food, @GovernorTomWolf says. Stores will remain open during this time. If we don't do everything to slow the spread of COVID-19 there are some people you won't see again, he says. This next month will be difficult but Pennsylvanians are strong.",4
29884,74836,"Asheville, NC",1-4-2020,Amazon offers higher pay for switching to grocery work amid increased food demand Amazon is trying to entice its own warehouse workers to pick and pack Whole Foods groceries with higher pay amid increased demand for food an internal document reveals,3
29885,74837,,1-4-2020,New blog! The #coronavirus pandemic will impact global #security in many ways. Read how the #WaterPeaceSecurity  can help address these threats ?https://t.co/0JjcTGnRzI @ihedelft @WorldResources @intalert @hcssnl @deltares @WetlandsInt @IGG_NL https://t.co/D9bwF5iCJL,2
29886,74838,"Westerville, OH",1-4-2020,"National emergencies can be disastrous for U.S. credit, creating new consumer debt cycles that are hard to escape.



The government is creating policies to help consumer credit scores stay afloat. See how to defend your credit standing: https://t.co/814Piro2gl #coronavirus https://t.co/HafIAqLA4g",4
29887,74839,CA ? TX,1-4-2020,"INBOX: @TexasDeptofAg's @MillerForTexas writes to Gov @GregAbbott_TX asking to suspend English language labeling requirement for consumer packaging, like retail toilet paper, to allow TP for sale in Mexico to be redistributed for retail sale in US. #coronavirus #COVID19 #txlege https://t.co/FDoanE2110",4
29888,74840,"West Essex, NJ",1-4-2020,"? NJ CORPORATE DONATIONS

?? @FirstEnergy Corp / @JCPL making a significant contribution to stock area food banks and increasing its giving to the United Way



#COVID19 #COVID19NJ #Covid_19 #COVID?19 

#COVID?19NJ #COVIDNJ  #Covid_19NJ",4
29889,74841,,1-4-2020,@sylviecancie @SPLTSOCIETY @officedepot Its because corporate sent all the folks who would handle these problems home with pay during the #coronavirus #pandemic. The only people left are the retail store workers with no way to clean their areas and not ,1
29890,74842,United States,1-4-2020,Wish the government would give some kind of extra cash to grocery store workers. We are really putting ourselves at serious risk for pennies. #Covid_19,3
29891,74843,,1-4-2020,@SpeakerPelosi @senatemajldr why did you shelve consumer credit protections?  You want to really kill the economy?  Youre going to put people in the streets!!! Were dying physically and economically.  #COVID19 #coronavirus #Congress,1
29892,74844,"Madison, Wisconsin",1-4-2020,"Also trending on your Wednesday: CNN's Cuomo, with coronavirus, completes show from basement, Iceland lab's testing suggests 50% of coronavirus cases have no symptoms and you MUST WATCH this penguin visit whales in Chicago. https://t.co/5iF9Vql0Jf",1
29893,74845,"Washington, DC",1-4-2020,@SullyCNBC Remember in the Before Time when Trump told us how great it was that gasoline prices were down and we could all drive places? #coronavirus,4
29894,74846,,1-4-2020,"Wait. So @lowes KNOWS this is the safest way to operate a store, but they just choose not to? Because it might cost them a tiny bit of money? https://t.co/ZYN0esoeKo",3
29895,74847,Sierra Leone,1-4-2020,"What's our government doing about pharmacies that are currently quadrupling the prices of drugs?

Bra Vitamin don dear o. 

@PresidentBio @StateHouseSL @SLMIC3 



#SaloneTwitter #COVID?19 #coronavirus",3
29896,74848,,1-4-2020,@coffeeix_ Have a nice day and stay safe from the covid-19 and I hope you stock enough food through the whole lock down and live a happy life because there are kids who died so early like @Lizzy_Winkle #FlyHighLizzy https://t.co/clSR4WQOqU,4
29897,74849,"ÜT: 39.924362,-85.959195",1-4-2020,"Join us for our second @emergesmarter panel, where youll learn how Americans are feeling, how their behaviors are evolving, what they are discovering thats new to them and much more!

Register now.

https://t.co/1v4g6I5qVg



#MRX #ConsumerBehavior #Coronavirus",3
29898,74850,"ÜT: 39.924362,-85.959195",1-4-2020,"On 3/26, @emergesmarter hosted their 1st live Consumer Roundtable discussion to take a pulse on consumers evolving attitudes and behaviors during the coronavirus pandemic. Here are five takeaways of what was learned:

https://t.co/Tc3mCYDg7r



#MRX #ConsumerBehavior #Coronavirus",2
29899,74851,"Lydney, England",1-4-2020,"You can currently get a free anti-viral lip &amp; body balm for every ten pounds you spend in our online shop...



#environment

#coronavirus

#Antiviral

#lipbalm

#BeatCOVID19

#shopping

#beauty



https://t.co/Itauh8O1Fw",3
29900,74852,Brooklyn,1-4-2020,"Yup. At work, we've been putting together a database of all the pantries across the city that are still active. It's hard out here, man --&gt; New Yorks Food Pantries Face An Unprecedented And Extreme Uptick In Need https://t.co/5an5S7zqvA via @TPM",3
29901,74853,United States,1-4-2020,"#coronavirus quick take: crime down, new baby boom will be one result, as well as divorce rate. Stock market, oil &amp; gas prices down.  Trumps popularity, value of gold, &amp; the USA dollar up! #TDS still very strong, chances of a #LIBTARD winning in Nov 2020 further down! #MAGA2020",4
29902,74854,,1-4-2020,"Great job using PPE glove use at Supermarket today ?

#coronavirus #COVID?19 #COVID19 #CoronavirusUSA #covid19impactke #Covid_19 #CoronaVirusUpdate #CoronavirusPandemic #COVID https://t.co/av4QH3PKzm",4
